city,country,lat,lon,airport
Lisbon,Portugal,38.7077,-9.1363,LIS
Madrid,Spain,40.4168,-3.7038,MAD
Valencia,Spain,39.4699,-0.3763,VLC
Malaga,Spain,36.7212,-4.4214,AGP
Rome,Italy,41.9029,12.4964,FCO
Rome,Italy,41.8025,12.2555,CIA
Catania,Italy,37.4922,15.0700,CTA
Santorini,Greece,36.3932,25.4615,JTR
Dubrovnik,Croatia,42.6418,18.0948,DBV
Bangkok,Thailand,13.7563,100.5018,BKK
Bangkok,Thailand,13.7563,100.5018,DMK
Florence,Italy,43.7696,11.2558,FLR
New York,USA,40.7128,-74.0060,JFK
New York,USA,40.7128,-74.0060,LGA
New York,USA,40.7128,-74.0060,EWR
